Location,Crash Type,Month,Municipality,Year,CrashCount,Latitude,Longitude
DOLLARTON HWY & RIVERSIDE DR,Casualty,January  ,NORTH VANCOUVER,2021,1,49.305555,-123.014087
HARBOUR AVE & MAIN ST,Casualty,January  ,NORTH VANCOUVER,2021,1,49.305823,-123.034207
DOLLARTON HWY & FORESTER ST & TURNING LANE,Casualty,January  ,NORTH VANCOUVER,2021,1,49.306136,-123.010866
COTTON RD & E 3RD ST,Casualty,January  ,NORTH VANCOUVER,2021,1,49.308351,-123.045676
E 3RD ST & LONSDALE AVE & W 3RD ST,Casualty,January  ,NORTH VANCOUVER,2021,1,49.31343,-123.077042
BEAUFORT RD & MT SEYMOUR PKY,Casualty,January  ,NORTH VANCOUVER,2021,1,49.315883,-122.958124
BROOKSBANK AVE & COTTON RD & TURNING LANE,Property Damage Only,December ,NORTH VANCOUVER,2022,2,49.307057,-123.040407
E 1ST ST & LONSDALE AVE & W 1ST ST,Property Damage Only,December ,NORTH VANCOUVER,2022,2,49.311867,-123.078673
E KEITH RD & LONSDALE AVE & W KEITH RD,Property Damage Only,December ,NORTH VANCOUVER,2022,2,49.316466,-123.073958
HAMILTON AVE & MARINE DR & W 16TH ST & TURNING LANE,Property Damage Only,December ,NORTH VANCOUVER,2022,2,49.323112,-123.100131
BRIDGMAN AVE & MARINE DR,Property Damage Only,December ,NORTH VANCOUVER,2022,2,49.323878,-123.110573
ARBORLYNN DR & CARMARIA CRT & E 20TH ST,Property Damage Only,December ,NORTH VANCOUVER,2022,2,49.326783,-123.030823
W 23RD ST & W 24TH CLOSE & WESTVIEW DR,Property Damage Only,December ,NORTH VANCOUVER,2022,2,49.330404,-123.088327
E WINDSOR RD & LONSDALE AVE & W WINDSOR RD,Property Damage Only,December ,NORTH VANCOUVER,2022,2,49.338339,-123.07195
CAPILANO RD & FULLERTON AVE,Property Damage Only,December ,NORTH VANCOUVER,2022,3,49.326608,-123.11985
E 25TH ST & E 25TH ST OFFRAMP & E 25TH ST ONRAMP & LONSDALE AVE & LONSDALE AVE OFFRAMP & LONSDALE AVE ONRAMP & TRANS-CANADA HWY & W 25TH ST & TURNING LANE,Property Damage Only,December ,NORTH VANCOUVER,2022,4,49.331967,-123.072107
E KEITH RD & QUEENSBURY AVE,Property Damage Only,December ,NORTH VANCOUVER,2022,5,49.313499,-123.05712
BOWSER AVE & CAPILANO RD & CAPILANO RD OFFRAMP & CAPILANO RD ONRAMP & KEITH RD & TRANS-CANADA HWY & TURNING LANE,Property Damage Only,December ,NORTH VANCOUVER,2022,6,49.332551,-123.117171
AMHERST AVE & DOLLARTON HWY & OLD DOLLARTON RD,Property Damage Only,February ,NORTH VANCOUVER,2022,1,49.305382,-123.018888
BROOKSBANK AVE & COTTON RD & TURNING LANE,Property Damage Only,February ,NORTH VANCOUVER,2022,1,49.307057,-123.040407
ALDERCREST DR & RAVEN WOODS DR & FIRE LANE,Property Damage Only,February ,NORTH VANCOUVER,2022,1,49.307611,-122.971255
BROOKSBANK AVE & E 5TH ST,Property Damage Only,February ,NORTH VANCOUVER,2022,1,49.310309,-123.040428
MT SEYMOUR PKY & RIVERSIDE DR & TURNING LANE,Property Damage Only,February ,NORTH VANCOUVER,2022,1,49.311036,-123.014719
E 1ST ST & LONSDALE AVE & W 1ST ST,Property Damage Only,February ,NORTH VANCOUVER,2022,1,49.311867,-123.078673
E 2ND ST & LONSDALE AVE & W 2ND ST,Property Damage Only,February ,NORTH VANCOUVER,2022,1,49.312668,-123.077854
FAIRFIELD RD & HARTFORD PL,Property Damage Only,February ,NORTH VANCOUVER,2022,1,49.313364,-122.990559
E 4TH ST & LONSDALE AVE & W 4TH ST,Property Damage Only,February ,NORTH VANCOUVER,2022,1,49.314216,-123.076274
E KEITH RD & LONSDALE AVE & W KEITH RD,Property Damage Only,February ,NORTH VANCOUVER,2022,1,49.316466,-123.073958
ARBORLYNN DR & MOUNTAIN HWY,Property Damage Only,February ,NORTH VANCOUVER,2022,1,49.317043,-123.036063
JONES AVE & W KEITH RD,Property Damage Only,February ,NORTH VANCOUVER,2022,1,49.31999,-123.081725
MAHON AVE & W 14TH ST,Property Damage Only,February ,NORTH VANCOUVER,2022,1,49.321117,-123.078596
E 15TH ST & ST GEORGES AVE,Property Damage Only,February ,NORTH VANCOUVER,2022,1,49.32204,-123.069198
MARINE DR & PEMBERTON AVE,Property Damage Only,February ,NORTH VANCOUVER,2022,1,49.323845,-123.107769
W 21ST ST & WESTVIEW DR,Property Damage Only,February ,NORTH VANCOUVER,2022,1,49.328452,-123.089333
E 23RD ST & ST GEORGES AVE,Property Damage Only,February ,NORTH VANCOUVER,2022,1,49.330199,-123.068991
E 27TH ST & FROMME RD & LYNN VALLEY RD,Property Damage Only,February ,NORTH VANCOUVER,2022,1,49.334069,-123.04381
W QUEENS RD & WOODBINE DR,Property Damage Only,February ,NORTH VANCOUVER,2022,1,49.336658,-123.099247
CRESCENTVIEW DR & EDGEMONT BLVD,Property Damage Only,February ,NORTH VANCOUVER,2022,1,49.338133,-123.10277
FREDERICK RD & MOUNTAIN HWY,Property Damage Only,February ,NORTH VANCOUVER,2022,1,49.341619,-123.038018
DOVERCOURT RD & HOSKINS RD & LYNN VALLEY RD,Property Damage Only,February ,NORTH VANCOUVER,2022,1,49.342224,-123.028695
E ROCKLAND RD & LONSDALE AVE & W ROCKLAND RD & UNNAMED LANE,Property Damage Only,February ,NORTH VANCOUVER,2022,1,49.345115,-123.071869
HOSKINS RD & KILMER RD,Property Damage Only,February ,NORTH VANCOUVER,2022,1,49.34592,-123.028515
CLIFFRIDGE AVE & MONTROYAL BLVD,Property Damage Only,February ,NORTH VANCOUVER,2022,1,49.356215,-123.100162
BOULEVARD CRES & E 21ST ST & GRAND BLVD OFFRAMP & GRAND BLVD ONRAMP & LYNN VALLEY RD & LYNN VALLEY RD ONRAMP & TRANS-CANADA HWY & WILLIAM AVE OFFRAMP & TURNING LANE,Property Damage Only,August   ,NORTH VANCOUVER,2023,5,49.328871,-123.053569
BOWSER AVE & CAPILANO RD & CAPILANO RD OFFRAMP & CAPILANO RD ONRAMP & KEITH RD & TRANS-CANADA HWY & TURNING LANE,Property Damage Only,August   ,NORTH VANCOUVER,2023,9,49.332551,-123.117171
E 25TH ST & E 25TH ST OFFRAMP & E 25TH ST ONRAMP & LONSDALE AVE & LONSDALE AVE OFFRAMP & LONSDALE AVE ONRAMP & TRANS-CANADA HWY & W 25TH ST & TURNING LANE,Property Damage Only,August   ,NORTH VANCOUVER,2023,10,49.331967,-123.072107
MOUNTAIN HWY & OXFORD ST,Property Damage Only,December ,NORTH VANCOUVER,2023,1,49.306171,-123.032033
COTTON RD & GLADSTONE AVE & TURNING LANE,Property Damage Only,December ,NORTH VANCOUVER,2023,1,49.308144,-123.043782
CHESTERFIELD AVE & CHESTERFIELD PL & W ESPLANADE,Property Damage Only,December ,NORTH VANCOUVER,2023,1,49.312423,-123.082584
SEMISCH AVE & W ESPLANADE,Property Damage Only,December ,NORTH VANCOUVER,2023,1,49.313086,-123.084133
PHILIP AVE & W 1ST ST,Property Damage Only,December ,NORTH VANCOUVER,2023,1,49.316573,-123.113659
PEMBERTON AVE & W 1ST ST,Property Damage Only,December ,NORTH VANCOUVER,2023,1,49.316992,-123.107926
PEMBERTON AVE & WELCH ST,Property Damage Only,December ,NORTH VANCOUVER,2023,1,49.317544,-123.107919
BEAUFORT RD & BROCKTON CRES,Property Damage Only,December ,NORTH VANCOUVER,2023,1,49.31769,-122.958054
CHESTERFIELD AVE & W KEITH RD,Property Damage Only,December ,NORTH VANCOUVER,2023,1,49.318091,-123.076803
MACKAY RD & W 3RD ST,Property Damage Only,December ,NORTH VANCOUVER,2023,1,49.320206,-123.102281
FELL AVE & MARINE DR & TURNING LANE,Property Damage Only,December ,NORTH VANCOUVER,2023,1,49.321159,-123.094648
E 15TH ST & ST GEORGES AVE,Property Damage Only,December ,NORTH VANCOUVER,2023,1,49.32204,-123.069198
E 15TH ST & LONSDALE AVE & W 15TH ST,Property Damage Only,December ,NORTH VANCOUVER,2023,1,49.322069,-123.072318
HAMILTON AVE & MARINE DR & W 16TH ST & TURNING LANE,Property Damage Only,December ,NORTH VANCOUVER,2023,1,49.323112,-123.100131
MARINE DR & PHILIP AVE,Property Damage Only,December ,NORTH VANCOUVER,2023,1,49.323893,-123.113368
BOWSER AVE & MARINE DR,Property Damage Only,December ,NORTH VANCOUVER,2023,1,49.32392,-123.116151
E 17TH ST & EASTERN AVE,Property Damage Only,December ,NORTH VANCOUVER,2023,1,49.324129,-123.070707
FIR ST & LARSON RD & WESTVIEW DR,Property Damage Only,December ,NORTH VANCOUVER,2023,1,49.325164,-123.089494
E 20TH ST & KIRKSTONE RD & MOUNTAIN HWY,Property Damage Only,December ,NORTH VANCOUVER,2023,1,49.327144,-123.038238
E 21ST ST & LONSDALE AVE & W 21ST ST,Property Damage Only,December ,NORTH VANCOUVER,2023,1,49.328258,-123.072147
W 28TH ST & WESTVIEW CRES & WESTVIEW DR,Property Damage Only,December ,NORTH VANCOUVER,2023,1,49.335231,-123.088108
E ST JAMES RD & REGENT AVE,Property Damage Only,December ,NORTH VANCOUVER,2023,1,49.339214,-123.060687
DEMPSEY RD & UNDERWOOD AVE,Property Damage Only,December ,NORTH VANCOUVER,2023,1,49.34779,-123.024692
MONTROYAL BLVD & RANGER AVE,Property Damage Only,December ,NORTH VANCOUVER,2023,1,49.356271,-123.090583
DOLLARTON HWY & ELLIS ST,Property Damage Only,December ,NORTH VANCOUVER,2023,2,49.308811,-122.994112
MARINE DR & PEMBERTON AVE,Property Damage Only,December ,NORTH VANCOUVER,2023,2,49.323845,-123.107769
E 20TH ST & ST GEORGES AVE,Property Damage Only,December ,NORTH VANCOUVER,2023,2,49.327209,-123.069067
BROOKSBANK AVE & E KEITH RD & HEYWOOD ST & MOUNTAIN HWY,Property Damage Only,December ,NORTH VANCOUVER,2023,3,49.313299,-123.040514
E 3RD ST & LONSDALE AVE & W 3RD ST,Property Damage Only,December ,NORTH VANCOUVER,2023,3,49.31343,-123.077042
CHESTERFIELD AVE & W 3RD ST,Property Damage Only,December ,NORTH VANCOUVER,2023,3,49.314795,-123.080147
MT SEYMOUR PKY & RIVERSIDE DR & TURNING LANE,Property Damage Only,December ,NORTH VANCOUVER,2023,4,49.311036,-123.014719
BOWSER AVE & CAPILANO RD & CAPILANO RD OFFRAMP & CAPILANO RD ONRAMP & KEITH RD & TRANS-CANADA HWY & TURNING LANE,Property Damage Only,December ,NORTH VANCOUVER,2023,4,49.332551,-123.117171
MAIN ST & MOUNTAIN HWY,Property Damage Only,February ,NORTH VANCOUVER,2023,1,49.305167,-123.032063
DOLLARTON HWY & RIVERSIDE DR,Property Damage Only,February ,NORTH VANCOUVER,2023,1,49.305555,-123.014087
E 3RD ST & RIDGEWAY AVE,Property Damage Only,February ,NORTH VANCOUVER,2023,1,49.308529,-123.063259
BROOKSBANK AVE & E 4TH ST,Property Damage Only,February ,NORTH VANCOUVER,2023,1,49.309313,-123.040457
LILLOOET RD & MT SEYMOUR PKY & TURNING LANE,Property Damage Only,February ,NORTH VANCOUVER,2023,1,49.31237,-123.025305
E KEITH RD & HENDRY AVE,Property Damage Only,February ,NORTH VANCOUVER,2023,1,49.313437,-123.051981
E KEITH RD & GRAND BLVD E,Property Damage Only,February ,NORTH VANCOUVER,2023,1,49.313491,-123.056563
FAIRWAY DR & MT SEYMOUR PKY,Property Damage Only,February ,NORTH VANCOUVER,2023,1,49.315876,-122.957335
FORBES AVE & W 2ND ST,Property Damage Only,February ,NORTH VANCOUVER,2023,1,49.316154,-123.085872
CARNATION ST & EMERSON WAY,Property Damage Only,February ,NORTH VANCOUVER,2023,1,49.318061,-122.998081
CARNATION ST & LENNOX ST,Property Damage Only,February ,NORTH VANCOUVER,2023,1,49.3182,-123.007462
MAHON AVE & W 13TH ST,Property Damage Only,February ,NORTH VANCOUVER,2023,1,49.320046,-123.078619
HANES AVE & W 3RD ST,Property Damage Only,February ,NORTH VANCOUVER,2023,1,49.320164,-123.098876
CHESTERFIELD AVE & W 16TH ST,Property Damage Only,February ,NORTH VANCOUVER,2023,1,49.323129,-123.075468
MACKAY AVE & MARINE DR,Property Damage Only,February ,NORTH VANCOUVER,2023,1,49.32359,-123.10122
MARINE DR & PEMBERTON AVE,Property Damage Only,February ,NORTH VANCOUVER,2023,1,49.323845,-123.107769
MARINE DR & PHILIP AVE,Property Damage Only,February ,NORTH VANCOUVER,2023,1,49.323893,-123.113368
MARINE DR & TATLOW AVE,Property Damage Only,February ,NORTH VANCOUVER,2023,1,49.323938,-123.117544
E 17TH ST & ST GEORGES AVE,Property Damage Only,February ,NORTH VANCOUVER,2023,1,49.324114,-123.069146
FIR ST & LARSON RD & WESTVIEW DR,Property Damage Only,February ,NORTH VANCOUVER,2023,1,49.325164,-123.089494
CAPILANO RD & CURLING RD,Property Damage Only,February ,NORTH VANCOUVER,2023,1,49.325219,-123.121453
E 19TH ST & ST GEORGES AVE,Property Damage Only,February ,NORTH VANCOUVER,2023,1,49.326194,-123.069093
E 19TH ST & LONSDALE AVE & W 19TH ST,Property Damage Only,February ,NORTH VANCOUVER,2023,1,49.326226,-123.072214
CHESTERFIELD AVE & W 19TH ST,Property Damage Only,February ,NORTH VANCOUVER,2023,1,49.326259,-123.07539
BOULEVARD CRES & E 21ST ST & GRAND BLVD OFFRAMP & GRAND BLVD ONRAMP & LYNN VALLEY RD & LYNN VALLEY RD ONRAMP & TRANS-CANADA HWY & WILLIAM AVE OFFRAMP & TURNING LANE,Property Damage Only,February ,NORTH VANCOUVER,2023,1,49.328871,-123.053569
W 23RD ST & W 24TH CLOSE & WESTVIEW DR,Property Damage Only,February ,NORTH VANCOUVER,2023,1,49.330404,-123.088327
COLWOOD DR & EDGEMONT BLVD,Property Damage Only,February ,NORTH VANCOUVER,2023,1,49.332631,-123.09523
EDGEMONT BLVD & THORNCLIFFE DR,Property Damage Only,February ,NORTH VANCOUVER,2023,1,49.334546,-123.097899
E 29TH ST & WILLIAM AVE,Property Damage Only,February ,NORTH VANCOUVER,2023,1,49.335544,-123.050449
BRAND ST & E 29TH ST & PRINCESS AVE,Property Damage Only,February ,NORTH VANCOUVER,2023,1,49.335589,-123.058066
LONSDALE AVE & W QUEENS RD,Property Damage Only,February ,NORTH VANCOUVER,2023,1,49.336525,-123.071991
E ST JAMES RD & ST GEORGES AVE,Property Damage Only,February ,NORTH VANCOUVER,2023,1,49.339255,-123.068583
SASAMAT LANE & SUNSHINE FALLS LANE,Property Damage Only,February ,NORTH VANCOUVER,2023,1,49.345913,-122.924209
CEDARCREST AVE & MONTROYAL BLVD,Property Damage Only,February ,NORTH VANCOUVER,2023,1,49.356255,-123.093632
DOLLARTON HWY & RAVEN WOODS DR,Casualty,April    ,NORTH VANCOUVER,2020,1,49.304984,-122.972996
FORBES AVE & W 1ST ST & W ESPLANDE LANE,Casualty,April    ,NORTH VANCOUVER,2020,1,49.314709,-123.085936
LLOYD AVE & W 1ST ST,Casualty,April    ,NORTH VANCOUVER,2020,1,49.317595,-123.105113
HANES AVE & W 3RD ST,Casualty,April    ,NORTH VANCOUVER,2020,1,49.320164,-123.098876
MACKAY RD & W 3RD ST,Casualty,April    ,NORTH VANCOUVER,2020,1,49.320206,-123.102281
E 16TH ST & RIDGEWAY AVE,Casualty,April    ,NORTH VANCOUVER,2020,1,49.322993,-123.063
E 20TH ST & KIRKSTONE RD & MOUNTAIN HWY,Casualty,April    ,NORTH VANCOUVER,2020,1,49.327144,-123.038238
E 29TH ST & FROMME RD,Casualty,April    ,NORTH VANCOUVER,2020,1,49.335494,-123.043831
DEMPSEY RD & MOUNTAIN HWY,Casualty,April    ,NORTH VANCOUVER,2020,1,49.348072,-123.037784
MONTROYAL BLVD & RANGER AVE,Casualty,April    ,NORTH VANCOUVER,2020,1,49.356271,-123.090583
MOSQUITO CREEK BRIDGE & TRANS-CANADA HWY & WESTVIEW DR & WESTVIEW DR OFFRAMP & WESTVIEW DR ONRAMP & TURNING LANE,Casualty,April    ,NORTH VANCOUVER,2020,2,49.33199,-123.088135
LYNN AVE & MAIN ST,Casualty,August   ,NORTH VANCOUVER,2020,1,49.306469,-123.036923
E 3RD ST & ST ANDREWS AVE,Casualty,August   ,NORTH VANCOUVER,2020,1,49.310787,-123.070952
MT SEYMOUR PKY & RIVERSIDE DR & TURNING LANE,Casualty,August   ,NORTH VANCOUVER,2020,1,49.311036,-123.014719
E ESPLANADE & LONSDALE AVE & W ESPLANADE,Casualty,August   ,NORTH VANCOUVER,2020,1,49.311047,-123.079495
E KEITH RD & LILLOOET RD & LILLOOET RD OFFRAMP & MT SEYMOUR PKY ONRAMP & TRANS-CANADA HWY & TRANS-CANADA HWY ONRAMP & TURNING LANE,Casualty,August   ,NORTH VANCOUVER,2020,1,49.311437,-123.028213
BROOKSBANK AVE & E KEITH RD & HEYWOOD ST & MOUNTAIN HWY,Casualty,August   ,NORTH VANCOUVER,2020,1,49.313299,-123.040514
E KEITH RD & GRAND BLVD E,Casualty,August   ,NORTH VANCOUVER,2020,1,49.313491,-123.056563
MT SEYMOUR PKY & PARKGATE AVE,Casualty,August   ,NORTH VANCOUVER,2020,1,49.315788,-122.974626
LILLOOET RD & PURCELL WAY,Casualty,August   ,NORTH VANCOUVER,2020,1,49.317565,-123.023979
PHILIP AVE & WELCH ST,Casualty,August   ,NORTH VANCOUVER,2020,1,49.317634,-123.113647
E 11TH ST & GRAND BLVD E,Casualty,August   ,NORTH VANCOUVER,2020,1,49.317726,-123.056449
FELL AVE & MARINE DR & TURNING LANE,Casualty,August   ,NORTH VANCOUVER,2020,1,49.321159,-123.094648
E 15TH ST & LONSDALE AVE & W 15TH ST,Casualty,August   ,NORTH VANCOUVER,2020,1,49.322069,-123.072318
MARINE DR & MCGUIRE AVE,Casualty,August   ,NORTH VANCOUVER,2020,1,49.323951,-123.120152
W 23RD ST & W 24TH CLOSE & WESTVIEW DR,Casualty,August   ,NORTH VANCOUVER,2020,1,49.330404,-123.088327
DOVERCOURT RD & HOSKINS RD & LYNN VALLEY RD,Casualty,August   ,NORTH VANCOUVER,2020,1,49.342224,-123.028695
HAMILTON AVE & MARINE DR & W 16TH ST & TURNING LANE,Casualty,August   ,NORTH VANCOUVER,2020,2,49.323112,-123.100131
CAPILANO RD & MARINE DR & MATHIAS RD & TURNING LANE,Casualty,August   ,NORTH VANCOUVER,2020,2,49.324292,-123.122442
BOULEVARD CRES & E 21ST ST & GRAND BLVD OFFRAMP & GRAND BLVD ONRAMP & LYNN VALLEY RD & LYNN VALLEY RD ONRAMP & TRANS-CANADA HWY & WILLIAM AVE OFFRAMP & TURNING LANE,Casualty,August   ,NORTH VANCOUVER,2020,2,49.328871,-123.053569
E 23RD ST & LONSDALE AVE & W 23RD ST,Casualty,August   ,NORTH VANCOUVER,2020,2,49.330237,-123.072132
MOSQUITO CREEK BRIDGE & TRANS-CANADA HWY & WESTVIEW DR & WESTVIEW DR OFFRAMP & WESTVIEW DR ONRAMP & TURNING LANE,Casualty,August   ,NORTH VANCOUVER,2020,4,49.33199,-123.088135
BOWSER AVE & CAPILANO RD & CAPILANO RD OFFRAMP & CAPILANO RD ONRAMP & KEITH RD & TRANS-CANADA HWY & TURNING LANE,Casualty,August   ,NORTH VANCOUVER,2020,7,49.332551,-123.117171
MAIN ST & MOUNTAIN HWY,Casualty,December ,NORTH VANCOUVER,2020,1,49.305167,-123.032063
DOLLARTON HWY & RIVERSIDE DR W,Casualty,December ,NORTH VANCOUVER,2020,1,49.305271,-123.019825
E 3RD LANE & QUEENSBURY AVE,Casualty,December ,NORTH VANCOUVER,2020,1,49.308961,-123.05723
ROGERS AVE & W ESPLANADE,Casualty,December ,NORTH VANCOUVER,2020,1,49.311666,-123.080794
CHESTERFIELD AVE & W 1ST ST,Casualty,December ,NORTH VANCOUVER,2020,1,49.313211,-123.081809
E KEITH RD & MOODY AVE,Casualty,December ,NORTH VANCOUVER,2020,1,49.313525,-123.060116
FORBES AVE & W 1ST ST & W ESPLANDE LANE,Casualty,December ,NORTH VANCOUVER,2020,1,49.314709,-123.085936
LLOYD AVE & W 1ST ST,Casualty,December ,NORTH VANCOUVER,2020,1,49.317595,-123.105113
GARDEN AVE & WELCH ST,Casualty,December ,NORTH VANCOUVER,2020,1,49.317676,-123.118307
E 11TH ST & LONSDALE AVE & W 8TH ST,Casualty,December ,NORTH VANCOUVER,2020,1,49.317895,-123.072561
E 13TH ST & LIONS GATE HOSPITAL & ST ANDREWS AVE,Casualty,December ,NORTH VANCOUVER,2020,1,49.319947,-123.066104
E 13TH ST & LONSDALE AVE & W 13TH ST,Casualty,December ,NORTH VANCOUVER,2020,1,49.319966,-123.072373
FELL LANE & HANES AVE & MARINE DR,Casualty,December ,NORTH VANCOUVER,2020,1,49.322336,-123.097965
LLOYD AVE & MARINE DR,Casualty,December ,NORTH VANCOUVER,2020,1,49.323815,-123.104899
MARINE DR & PHILIP AVE,Casualty,December ,NORTH VANCOUVER,2020,1,49.323893,-123.113368
E 20TH ST & KIRKSTONE RD & MOUNTAIN HWY,Casualty,December ,NORTH VANCOUVER,2020,1,49.327144,-123.038238
CARSON GRAHAM SECONDARY SCHOOL ACCESS & LARSON CRES & LARSON RD,Casualty,December ,NORTH VANCOUVER,2020,1,49.329254,-123.084255
E 29TH ST & FROMME RD,Casualty,December ,NORTH VANCOUVER,2020,1,49.335494,-123.043831
BRAND ST & E 29TH ST & PRINCESS AVE,Casualty,December ,NORTH VANCOUVER,2020,1,49.335589,-123.058066
PAISLEY RD & RIDGEWOOD DR & SUNSET BLVD,Casualty,December ,NORTH VANCOUVER,2020,1,49.339381,-123.107532
CAPILANO RD & MONTROYAL BLVD,Casualty,December ,NORTH VANCOUVER,2020,1,49.356181,-123.106134
LYNN AVE & MAIN ST,Casualty,December ,NORTH VANCOUVER,2020,2,49.306469,-123.036923
BROOKSBANK AVE & E KEITH RD & HEYWOOD ST & MOUNTAIN HWY,Casualty,December ,NORTH VANCOUVER,2020,2,49.313299,-123.040514
MOUNTAIN HWY & MOUNTAIN HWY OFFRAMP & MOUNTAIN HWY ONRAMP & TRANS-CANADA HWY & TURNING LANE,Casualty,December ,NORTH VANCOUVER,2020,2,49.31564,-123.037579
E KEITH RD & LONSDALE AVE & W KEITH RD,Casualty,December ,NORTH VANCOUVER,2020,2,49.316466,-123.073958
FELL AVE & W 1ST ST,Casualty,December ,NORTH VANCOUVER,2020,2,49.318039,-123.094731
E 3RD ST & RIDGEWAY AVE,Casualty,December ,NORTH VANCOUVER,2020,3,49.308529,-123.063259
CAPILANO RD & MARINE DR & MATHIAS RD & TURNING LANE,Casualty,December ,NORTH VANCOUVER,2020,4,49.324292,-123.122442
E 25TH ST & E 25TH ST OFFRAMP & E 25TH ST ONRAMP & LONSDALE AVE & LONSDALE AVE OFFRAMP & LONSDALE AVE ONRAMP & TRANS-CANADA HWY & W 25TH ST & TURNING LANE,Casualty,December ,NORTH VANCOUVER,2020,4,49.331967,-123.072107
MAIN ST & MOUNTAIN HWY,Casualty,February ,NORTH VANCOUVER,2020,1,49.305167,-123.032063
E ESPLANADE & LONSDALE AVE & W ESPLANADE,Casualty,February ,NORTH VANCOUVER,2020,1,49.311047,-123.079495
E KEITH RD & LILLOOET RD & LILLOOET RD OFFRAMP & MT SEYMOUR PKY ONRAMP & TRANS-CANADA HWY & TRANS-CANADA HWY ONRAMP & TURNING LANE,Casualty,February ,NORTH VANCOUVER,2020,1,49.311437,-123.028213
E KEITH RD & MOODY AVE,Casualty,February ,NORTH VANCOUVER,2020,1,49.313525,-123.060116
E KEITH RD & RIDGEWAY AVE,Casualty,February ,NORTH VANCOUVER,2020,1,49.31358,-123.063189
FORBES AVE & MAHON AVE & W ESPLANADE,Casualty,February ,NORTH VANCOUVER,2020,1,49.31374,-123.085662
E 4TH ST & LONSDALE AVE & W 4TH ST,Casualty,February ,NORTH VANCOUVER,2020,1,49.314216,-123.076274
E KEITH RD & LONSDALE AVE & W KEITH RD,Casualty,February ,NORTH VANCOUVER,2020,1,49.316466,-123.073958
DEEP COVE RD & STRATHCONA RD,Casualty,February ,NORTH VANCOUVER,2020,1,49.317662,-122.953598
E 13TH ST & ST GEORGES AVE,Casualty,February ,NORTH VANCOUVER,2020,1,49.319934,-123.069253
CHESTERFIELD AVE & W 13TH ST,Casualty,February ,NORTH VANCOUVER,2020,1,49.320023,-123.075547
FELL AVE & W 15TH ST,Casualty,February ,NORTH VANCOUVER,2020,1,49.322283,-123.094616
LONSDALE AVE & W 16TH ST,Casualty,February ,NORTH VANCOUVER,2020,1,49.323097,-123.072295
FELL AVE & W 16TH ST,Casualty,February ,NORTH VANCOUVER,2020,1,49.323237,-123.094577
LLOYD AVE & MARINE DR,Casualty,February ,NORTH VANCOUVER,2020,1,49.323815,-123.104899
BRIDGMAN AVE & MARINE DR,Casualty,February ,NORTH VANCOUVER,2020,1,49.323878,-123.110573
MARINE DR & MCGUIRE AVE,Casualty,February ,NORTH VANCOUVER,2020,1,49.323951,-123.120152
E 17TH ST & LONSDALE AVE & W 17TH ST,Casualty,February ,NORTH VANCOUVER,2020,1,49.324144,-123.072267
W 19TH ST & WESTVIEW DR,Casualty,February ,NORTH VANCOUVER,2020,1,49.326389,-123.089468
W 23RD ST & W 24TH CLOSE & WESTVIEW DR,Casualty,February ,NORTH VANCOUVER,2020,1,49.330404,-123.088327
CARISBROOKE CRES & E CARISBROOKE RD & LONSDALE AVE,Casualty,February ,NORTH VANCOUVER,2020,1,49.341474,-123.071918
E ESPLANADE & LONSDALE AVE & W ESPLANADE,Casualty,January  ,NORTH VANCOUVER,2020,1,49.311047,-123.079495
CARRIE CATES CRT & CHESTERFIELD PL & W ESPLANDE LANE,Casualty,January  ,NORTH VANCOUVER,2020,1,49.311759,-123.083261
E 3RD ST & ST GEORGES AVE,Casualty,January  ,NORTH VANCOUVER,2020,1,49.312105,-123.074018
E KEITH RD & HENDRY AVE,Casualty,January  ,NORTH VANCOUVER,2020,1,49.313437,-123.051981
BERKLEY RD & MT SEYMOUR PKY & TURNING LANE,Casualty,January  ,NORTH VANCOUVER,2020,1,49.313697,-123.004763
LILLOOET RD & OLD LILLOOET RD & TURNING LANE,Casualty,January  ,NORTH VANCOUVER,2020,1,49.313944,-123.02443
E KEITH RD & ST ANDREWS AVE,Casualty,January  ,NORTH VANCOUVER,2020,1,49.314234,-123.0674
MOUNTAIN HWY & MOUNTAIN HWY OFFRAMP & MOUNTAIN HWY ONRAMP & TRANS-CANADA HWY & TURNING LANE,Casualty,January  ,NORTH VANCOUVER,2020,1,49.31564,-123.037579
MT SEYMOUR PKY & PLYMOUTH DR,Casualty,January  ,NORTH VANCOUVER,2020,1,49.315701,-122.987434
MT SEYMOUR PKY & PARKGATE AVE,Casualty,January  ,NORTH VANCOUVER,2020,1,49.315788,-122.974626
MT SEYMOUR PKY & MT SEYMOUR RD & ROCHE POINT DR,Casualty,January  ,NORTH VANCOUVER,2020,1,49.315935,-122.968956
FORBES AVE & W 3RD ST,Casualty,January  ,NORTH VANCOUVER,2020,1,49.317265,-123.085826
E 12TH ST & LONSDALE AVE & W 12TH ST,Casualty,January  ,NORTH VANCOUVER,2020,1,49.318952,-123.072398
4TH ST & W 2ND ST & W 3RD ST,Casualty,January  ,NORTH VANCOUVER,2020,1,49.319047,-123.089786
FORBES AVE & W KEITH RD,Casualty,January  ,NORTH VANCOUVER,2020,1,49.320021,-123.084841
BEWICKE AVE & LARSON RD & W 16TH ST & W 17TH ST,Casualty,January  ,NORTH VANCOUVER,2020,1,49.324341,-123.09107
